TITLE,GLUCOSA 50
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,19/02/15
TIME,16:22:11
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,399.1927
LASTX,4000.6047
NPOINTS,3736
FIRSTY,0.02660
MAXY,1.31924
MINY,0.00100
XYDATA,
399.1927,0.0265956
400.1569,0.0275736
401.1211,0.0271673
402.0854,0.0264988
403.0496,0.0265947
404.0138,0.0278612
404.9781,0.0301058
405.9423,0.0327118
406.9065,0.0349813
407.8708,0.0364927
408.8350,0.0371921
409.7992,0.0371934
410.7635,0.0365767
411.7277,0.0353886
412.6919,0.0337623
413.6562,0.0319668
414.6204,0.0303572
415.5846,0.0293637
416.5489,0.029576
417.5131,0.0317355
418.4773,0.036174
419.4416,0.0417734
420.4058,0.0462377
421.3700,0.0481137
422.3343,0.0476138
423.2985,0.0457986
424.2627,0.0438372
425.2270,0.0426459
426.1912,0.042591
427.1554,0.0433405
428.1197,0.0440815
429.0839,0.0440154
430.0481,0.0428121
431.0124,0.0407772
431.9766,0.0386872
432.9408,0.0374199
433.9051,0.0375911
434.8693,0.0393407
435.8335,0.0423031
436.7978,0.0457597
437.7620,0.0489387
438.7262,0.0513294
439.6905,0.05286
440.6547,0.0538684
441.6189,0.0548744
442.5832,0.0562145
443.5474,0.0577345
444.5116,0.0588365
445.4759,0.0589421
446.4401,0.0579784
447.4043,0.0564565
448.3686,0.0551472
449.3328,0.0546532
450.2970,0.0551174
451.2613,0.0561637
452.2255,0.0570938
453.1897,0.0572506
454.1540,0.0563333
455.1182,0.0545101
456.0824,0.052368
457.0467,0.050762
458.0109,0.0504912
458.9751,0.0518257
459.9394,0.0542915
460.9036,0.0569986
461.8678,0.0591672
462.8321,0.0604188
463.7963,0.0608094
464.7605,0.0607271
465.7248,0.0606807
466.6890,0.0610231
467.6532,0.0617616
468.6175,0.062582
469.5817,0.0630373
470.5459,0.0627857
471.5102,0.0618212
472.4744,0.0606064
473.4386,0.0599211
474.4029,0.0604286
475.3671,0.0623085
476.3313,0.065206
477.2956,0.0684005
478.2598,0.0710654
479.2240,0.0726133
480.1883,0.0730444
481.1525,0.0730643
482.1167,0.0738019
483.0810,0.0762131
484.0452,0.0804599
485.0094,0.0856522
485.9737,0.0902587
486.9379,0.0929833
487.9021,0.0934092
488.8664,0.0919867
489.8306,0.0895977
490.7948,0.0871101
491.7591,0.0851185
492.7233,0.0839005
493.6875,0.0835374
494.6518,0.084073
495.6160,0.0855659
496.5802,0.0880018
497.5445,0.0911575
498.5087,0.0945334
499.4729,0.0974321
500.4372,0.0992125
501.4014,0.0996407
502.3656,0.0990788
503.3299,0.0982646
504.2941,0.0978251
505.2583,0.0979641
506.2226,0.0985386
507.1868,0.0993574
508.1510,0.100419
509.1153,0.101898
510.0795,0.103899
511.0437,0.10621
512.0080,0.10829
512.9722,0.109524
513.9365,0.109563
514.9007,0.108551
515.8649,0.107084
516.8292,0.105924
517.7934,0.105594
518.7576,0.106106
519.7219,0.10704
520.6861,0.107897
521.6503,0.108375
522.6146,0.108416
523.5788,0.108125
524.5430,0.107713
525.5073,0.107445
526.4715,0.107565
527.4357,0.108166
528.4000,0.109107
529.3642,0.11008
530.3284,0.110757
531.2927,0.110943
532.2569,0.110661
533.2211,0.110129
534.1854,0.109624
535.1496,0.109356
536.1138,0.10941
537.0781,0.109799
538.0423,0.110535
539.0065,0.111631
539.9708,0.113036
540.9350,0.114585
541.8992,0.11604
542.8635,0.117213
543.8277,0.118084
544.7919,0.118812
545.7562,0.119616
546.7204,0.120615
547.6846,0.121751
548.6489,0.122865
549.6131,0.123864
550.5773,0.124817
551.5416,0.125904
552.5058,0.127253
553.4700,0.128809
554.4343,0.130315
555.3985,0.131433
556.3627,0.131904
557.3270,0.131664
558.2912,0.130841
559.2554,0.129671
560.2197,0.128395
561.1839,0.127181
562.1481,0.126099
563.1124,0.125131
564.0766,0.124209
565.0408,0.12329
566.0051,0.122395
566.9693,0.121603
567.9335,0.120985
568.8978,0.120525
569.8620,0.1201
570.8262,0.119575
571.7905,0.118916
572.7547,0.11824
573.7189,0.117762
574.6832,0.117668
575.6474,0.118016
576.6116,0.118726
577.5759,0.119677
578.5401,0.120802
579.5043,0.122088
580.4686,0.123487
581.4328,0.124823
582.3970,0.125826
583.3613,0.126294
584.3255,0.12625
585.2897,0.125966
586.2540,0.125789
587.2182,0.125923
588.1824,0.126307
589.1467,0.12667
590.1109,0.126704
591.0751,0.126257
592.0394,0.125427
593.0036,0.124478
593.9678,0.123662
594.9321,0.123062
595.8963,0.122583
596.8605,0.122044
597.8248,0.1213
598.7890,0.12033
599.7532,0.119247
600.7175,0.11823
601.6817,0.117409
602.6459,0.116787
603.6102,0.116243
604.5744,0.115615
605.5386,0.114817
606.5029,0.113916
607.4671,0.113111
608.4313,0.112624
609.3956,0.112577
610.3598,0.112929
611.3240,0.11351
612.2883,0.11414
613.2525,0.114726
614.2167,0.115296
615.1810,0.115939
616.1452,0.11672
617.1094,0.117628
618.0737,0.118599
619.0379,0.119592
620.0021,0.120641
620.9664,0.121839
621.9306,0.123274
622.8948,0.124961
623.8591,0.126821
624.8233,0.128695
625.7875,0.130453
626.7518,0.131981
627.7160,0.133221
628.6802,0.13414
629.6445,0.134723
630.6087,0.134966
631.5729,0.134906
632.5372,0.134621
633.5014,0.134212
634.4656,0.133755
635.4299,0.133261
636.3941,0.132673
637.3583,0.131904
638.3226,0.130891
639.2868,0.129629
640.2510,0.128156
641.2153,0.126503
642.1795,0.124661
