,,,,,
TITLE,GLUCOSA 5,,,,
DATA TYPE,INFRARED SPECTRUM,,,,
ORIGIN,JASCO,,,,
OWNER,,,,,
DATE,19/02/15,,,,
TIME,16:01:16,,,,
SPECTROMETER/DATA SYSTEM,,,,,
LOCALE,1033,,,,
RESOLUTION,,,,,
DELTAX,0.964233,,,,
XUNITS,1/CM,,,,
YUNITS,ABSORBANCE,,,,
FIRSTX,399.1927,,,,
LASTX,4000.6047,,,,
NPOINTS,3736,,,,
FIRSTY,-0.00239,,,,
MAXY,1.11787,,,,
MINY,-0.00239,,,,
XYDATA,,,,,
588.1824,0.117859,,,,
589.1467,0.117723,,,,
590.1109,0.117405,,,,
591.0751,0.116842,,,,
592.0394,0.116081,,,,
593.0036,0.115266,,,,
593.9678,0.114565,,,,
594.9321,0.114063,,,,
595.8963,0.113718,,,,
596.8605,0.113397,,,,
597.8248,0.112938,,,,
598.7890,0.112233,,,,
599.7532,0.111268,,,,
600.7175,0.110121,,,,
601.6817,0.10892,,,,
602.6459,0.107777,,,,
603.6102,0.106769,,,,
604.5744,0.10593,,,,
605.5386,0.105277,,,,
606.5029,0.104819,,,,
607.4671,0.104552,,,,
608.4313,0.104438,,,,
609.3956,0.104409,,,,
610.3598,0.10438,,,,
611.3240,0.10431,,,,
612.2883,0.104247,,,,
613.2525,0.104334,,,,
614.2167,0.10476,,,,
615.1810,0.10566,,,,
616.1452,0.107029,,,,
617.1094,0.108694,,,,
618.0737,0.110388,,,,
619.0379,0.111887,,,,
620.0021,0.113114,,,,
620.9664,0.114155,,,,
621.9306,0.115179,,,,
622.8948,0.116352,,,,
623.8591,0.11778,,,,
624.8233,0.1195,,,,
625.7875,0.121473,,,,
626.7518,0.123614,,,,
627.7160,0.125795,,,,
628.6802,0.127841,,,,
629.6445,0.129552,,,,
630.6087,0.130748,,,,
631.5729,0.131328,,,,
632.5372,0.131322,,,,
633.5014,0.130895,,,,
634.4656,0.130282,,,,
635.4299,0.129689,,,,
636.3941,0.129189,,,,
637.3583,0.1287,,,,
638.3226,0.128036,,,,
639.2868,0.127025,,,,
640.2510,0.125601,,,,
641.2153,0.123833,,,,
642.1795,0.121865,,,,
643.1437,0.119832,,,,
644.1080,0.117785,,,,
645.0722,0.115708,,,,
646.0364,0.113558,,,,
647.0007,0.111331,,,,
647.9649,0.109076,,,,
648.9291,0.106879,,,,
649.8934,0.104821,,,,
650.8576,0.102947,,,,
651.8218,0.101265,,,,
652.7861,0.0997641,,,,
653.7503,0.0984453,,,,
654.7145,0.0973376,,,,
655.6788,0.0964886,,,,
656.6430,0.095929,,,,
657.6072,0.0956321,,,,
658.5715,0.0954912,,,,
659.5357,0.0953412,,,,
660.4999,0.0950306,,,,
661.4642,0.0945157,,,,
662.4284,0.0938937,,,,
663.3926,0.0933408,,,,
664.3569,0.0930162,,,,
665.3211,0.0930042,,,,
666.2853,0.0932865,,,,
667.2496,0.0937109,,,,
668.2138,0.0940005,,,,
669.1780,0.0939339,,,,
670.1423,0.0935634,,,,
671.1065,0.0931171,,,,
672.0707,0.0927721,,,,
673.0350,0.0925899,,,,
673.9992,0.0925488,,,,
674.9634,0.0925798,,,,
675.9277,0.0925989,,,,
676.8919,0.092545,,,,
677.8561,0.0924127,,,,
678.8204,0.0922558,,,,
679.7846,0.0921549,,,,
680.7488,0.0921653,,,,
681.7131,0.092274,,,,
682.6773,0.0924006,,,,
683.6415,0.0924535,,,,
684.6058,0.0924018,,,,
685.5700,0.0923052,,,,
686.5342,0.0922802,,,,
687.4985,0.0924241,,,,
688.4627,0.0927478,,,,
689.4269,0.0931655,,,,
690.3912,0.0935469,,,,
691.3554,0.0937978,,,,
692.3196,0.0939141,,,,
693.2839,0.0939783,,,,
694.2481,0.0941091,,,,
695.2123,0.0943967,,,,
696.1766,0.0948599,,,,
697.1408,0.0954393,,,,
698.1050,0.0960254,,,,
699.0693,0.0965038,,,,
700.0335,0.0967984,,,,
700.9977,0.0968919,,,,
701.9620,0.0968189,,,,
702.9262,0.0966342,,,,
703.8904,0.0963743,,,,
704.8547,0.096028,,,,
705.8189,0.0955479,,,,
706.7831,0.0948897,,,,
707.7474,0.0940563,,,,
708.7116,0.0931119,,,,
709.6758,0.0921516,,,,
710.6401,0.0912462,,,,
711.6043,0.0903993,,,,
712.5685,0.0895477,,,,
713.5328,0.0886066,,,,
714.4970,0.0875312,,,,
715.4612,0.0864521,,,,
716.4255,0.0852447,,,,
717.3897,0.0841355,,,,
718.3539,0.0832101,,,,
719.3182,0.0824901,,,,
720.2824,0.0819319,,,,
721.2466,0.0814592,,,,
722.2109,0.0810089,,,,
723.1751,0.0805585,,,,
724.1393,0.0801216,,,,
725.1036,0.0797212,,,,
726.0678,0.0793648,,,,
727.0320,0.0790375,,,,
727.9963,0.0787142,,,,
728.9605,0.0783791,,,,
729.9247,0.0780334,,,,
730.8890,0.0776866,,,,
731.8532,0.0773402,,,,
732.8174,0.0769812,,,,
733.7817,0.0765938,,,,
734.7459,0.0761808,,,,
735.7101,0.0757748,,,,
736.6744,0.0754277,,,,
737.6386,0.0751821,,,,
738.6028,0.0750456,,,,
739.5671,0.0749856,,,,
740.5313,0.0749483,,,,
741.4955,0.0748889,,,,
742.4598,0.0747921,,,,
743.4240,0.0746717,,,,
744.3882,0.0745551,,,,
745.3525,0.0744643,,,,
746.3167,0.0744043,,,,
747.2809,0.0743654,,,,
748.2452,0.0743345,,,,
749.2094,0.0743121,,,,
750.1736,0.0743255,,,,
751.1379,0.0744303,,,,
752.1021,0.0746932,,,,
753.0663,0.0751584,,,,
754.0306,0.0758161,,,,
754.9948,0.0765978,,,,
755.9590,0.0774092,,,,
756.9233,0.0781899,,,,
757.8875,0.0789609,,,,
758.8517,0.079826,,,,
759.8160,0.0809199,,,,
760.7802,0.0823334,,,,
761.7444,0.0840608,,,,
762.7087,0.0860005,,,,
763.6729,0.0880031,,,,
764.6371,0.0899299,,,,
765.6014,0.0916826,,,,
766.5656,0.0931912,,,,
767.5298,0.0943807,,,,
768.4941,0.0951511,,,,
769.4583,0.0953909,,,,
770.4225,0.0950136,,,,
771.3868,0.0939902,,,,
772.3510,0.0923559,,,,
773.3152,0.0901937,,,,
774.2795,0.087611,,,,
775.2437,0.0847261,,,,
776.2079,0.0816642,,,,
777.1722,0.078552,,,,
778.1364,0.0755047,,,,
779.1006,0.0726091,,,,
780.0649,0.0699154,,,,
781.0291,0.0674448,,,,
781.9933,0.0652045,,,,
782.9576,0.0631962,,,,
783.9218,0.0614118,,,,
784.8860,0.0598218,,,,
785.8503,0.058376,,,,
786.8145,0.0570226,,,,
787.7787,0.0557379,,,,
788.7430,0.0545422,,,,
789.7072,0.0534873,,,,
790.6714,0.0526191,,,,
791.6357,0.0519411,,,,
792.5999,0.0514047,,,,
793.5641,0.0509328,,,,
794.5284,0.0504577,,,,
795.4926,0.0499466,,,,
796.4568,0.049401,,,,
797.4211,0.0488364,,,,
798.3853,0.0482654,,,,
799.3495,0.0476956,,,,
800.3138,0.0471386,,,,
801.2780,0.0466155,,,,
802.2422,0.0461494,,,,
803.2065,0.0457498,,,,
804.1707,0.0454051,,,,
805.1349,0.0450885,,,,
806.0992,0.0447738,,,,
807.0634,0.0444464,,,,
808.0276,0.0441023,,,,
808.9919,0.0437404,,,,
809.9561,0.043359,,,,
810.9203,0.0429622,,,,
811.8846,0.0425692,,,,
812.8488,0.0422124,,,,
813.8130,0.0419226,,,,
814.7773,0.0417089,,,,
815.7415,0.0415511,,,,
816.7057,0.0414117,,,,
817.6700,0.041262,,,,
818.6342,0.0411014,,,,
819.5984,0.0409587,,,,
820.5627,0.0408729,,,,
821.5269,0.040871,,,,
822.4911,0.0409564,,,,
823.4554,0.0411163,,,,
824.4196,0.0413388,,,,
825.3839,0.041629,,,,
826.3481,0.0420106,,,,
827.3123,0.0425153,,,,
828.2766,0.0431642,,,,
829.2408,0.0439539,,,,
830.2050,0.0448551,,,,
831.1693,0.045824,,,,
832.1335,0.0468212,,,,
833.0977,0.0478286,,,,
834.0620,0.0488536,,,,
835.0262,0.0499195,,,,
835.9904,0.0510469,,,,
836.9547,0.0522365,,,,
837.9189,0.0534601,,,,
838.8831,0.0546627,,,,
839.8474,0.0557724,,,,
